City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rikitea,7,PF,1593751588,69,-23.12,-134.97,71.09600000000005,8.84
cidreira,1,BR,1593751589,82,-30.18,-50.21,45.95,5.1
carnarvon,0,AU,1593751589,22,-24.87,113.63,86.0,6.7
boa vista,82,BR,1593751589,78,2.82,-60.67,80.6,1.0
castro,0,BR,1593751589,86,-24.79,-50.01,40.838000000000044,0.58
new norfolk,100,AU,1593751590,85,-42.78,147.06,51.008,0.89
port alfred,15,ZA,1593751590,70,-33.59,26.89,62.00600000000003,3.58
butaritari,79,KI,1593751590,67,3.07,172.79,83.39000000000001,4.27
sharkan,19,RU,1593751591,78,57.3,53.87,68.0,0.45
cherskiy,100,RU,1593751591,70,68.75,161.3,48.38000000000004,1.87
brigantine,1,US,1593751591,73,39.41,-74.36,78.00800000000001,2.1
dingle,99,PH,1593751591,60,11.0,122.67,89.31200000000005,1.48
chilliwack,75,CA,1593751592,93,49.17,-121.94,57.2,2.6
bathsheba,20,BB,1593751592,69,13.22,-59.52,82.4,9.3
ribeira grande,0,PT,1593751592,80,38.52,-28.7,67.37000000000006,3.81
punta arenas,100,CL,1593751593,94,-53.15,-70.92,33.8,3.6
yuncheng,97,CN,1593751593,39,35.02,110.99,91.59800000000003,3.64
tasiilaq,0,GL,1593751594,65,65.61,-37.64,46.4,1.27
qaanaaq,3,GL,1593751594,70,77.48,-69.36,40.1,1.41
dzaoudzi,90,YT,1593751594,65,-12.79,45.27,77.0,4.1
broken hill,40,AU,1593751418,47,-31.95,141.43,59.0,8.7
busselton,0,AU,1593751595,48,-33.65,115.33,62.99600000000005,4.69
kapaa,1,US,1593751382,69,22.08,-159.32,80.6,6.2
yellowknife,75,CA,1593751203,68,62.46,-114.35,64.4,2.6
boguchany,0,RU,1593751596,27,58.38,97.45,93.39800000000002,3.78
nikolskoye,75,RU,1593751596,77,59.7,30.79,68.0,5.0
codrington,66,AU,1593751596,68,-38.27,141.97,50.72000000000006,8.13
son la,100,VN,1593751597,77,21.32,103.9,83.73200000000001,1.23
zaraza,12,VE,1593751597,95,9.35,-65.32,72.82400000000001,1.52
saint george,1,US,1593751516,17,37.1,-113.58,89.6,1.5
luganville,75,VU,1593751598,65,-15.53,167.17,80.6,4.1
progress,75,US,1593751598,54,40.29,-76.83,80.6,2.1
tuatapere,100,NZ,1593751598,83,-46.13,167.68,39.00200000000008,1.34
victoria,100,HK,1593751303,74,22.29,114.16,89.99600000000005,4.92
tuktoyaktuk,90,CA,1593751599,100,69.45,-133.04,39.2,6.7
ongandjera,0,NA,1593751599,43,-17.88,15.07,53.708000000000006,4.5
kabo,98,CF,1593751599,95,7.7,18.63,70.142,2.1
bosaso,51,SO,1593751600,39,11.28,49.18,91.88600000000007,9.69
maningrida,38,AU,1593751600,60,-12.07,134.27,83.57000000000006,5.75
saint-augustin,15,CA,1593751600,95,51.23,-58.65,42.35,3.28
vao,60,NC,1593751601,70,-22.67,167.48,68.72000000000006,7.4
aklavik,90,CA,1593751327,87,68.22,-135.01,44.6,5.7
bethel,78,US,1593751321,89,41.37,-73.41,71.00600000000003,2.51
cordeiro,77,BR,1593751601,87,-22.03,-42.36,59.21600000000001,0.7
saskylakh,0,RU,1593751602,39,71.92,114.08,65.984,6.25
verkhniye kigi,27,RU,1593751602,63,55.41,58.6,66.32600000000009,2.34
ancud,100,CL,1593751602,93,-41.87,-73.82,46.004000000000055,3.1
geraldton,0,AU,1593751603,40,-28.77,114.6,69.8,11.3
georgetown,20,MY,1593751603,74,5.41,100.34,86.0,3.6
atuona,5,PF,1593751604,78,-9.8,-139.03,80.85200000000007,11.75
hilo,40,US,1593751580,65,19.73,-155.09,80.6,3.1
pevek,24,RU,1593751604,63,69.7,170.31,44.90600000000003,8.13
puerto ayora,46,EC,1593751605,88,-0.74,-90.35,69.99800000000002,1.34
huarmey,41,PE,1593751605,85,-10.07,-78.15,59.306000000000026,2.18
kodiak,1,US,1593751605,42,57.79,-152.41,66.2,2.6
ushuaia,90,AR,1593751580,100,-54.8,-68.3,28.4,3.1
havelock,1,US,1593751434,88,34.88,-76.9,75.2,1.19
kupino,84,RU,1593751606,89,54.37,77.3,62.041999999999994,4.19
itambacuri,100,BR,1593751606,87,-18.03,-41.69,68.558,1.6
port elizabeth,75,ZA,1593751607,67,-33.92,25.57,60.8,8.7
taicheng,18,CN,1593751607,51,38.73,113.23,74.55200000000008,3.43
bozova,5,TR,1593751607,32,37.36,38.53,84.2,4.6
te anau,100,NZ,1593751608,80,-45.42,167.72,44.024000000000015,1.37
albany,82,US,1593751527,100,42.6,-73.97,69.99800000000002,1.88
avarua,27,CK,1593751608,88,-21.21,-159.78,77.0,2.1
augustow,73,PL,1593751609,83,53.84,22.98,62.63600000000007,1.93
lagoa,3,PT,1593751609,83,39.05,-27.98,67.04600000000005,5.34
ames,1,US,1593751509,88,42.03,-93.62,75.00200000000008,1.5
ruwi,16,OM,1593751609,84,23.6,58.55,87.8,3.1
sao joao da barra,97,BR,1593751610,80,-21.64,-41.05,66.93800000000005,1.12
jaicos,72,BR,1593751610,48,-7.36,-41.14,69.99800000000002,2.15
vila,9,PT,1593751610,90,42.03,-8.16,48.00200000000008,0.89
grindavik,75,IS,1593751610,87,63.84,-22.43,46.4,3.1
hambantota,40,LK,1593751611,88,6.12,81.12,82.4,5.1
coquimbo,0,CL,1593751611,93,-29.95,-71.34,51.8,1.0
mataura,100,NZ,1593751612,83,-46.19,168.86,39.00200000000008,1.34
saint-philippe,40,RE,1593751612,64,-21.36,55.77,69.8,2.1
lata,2,PT,1593751612,89,40.16,-8.33,51.008,1.49
cape town,65,ZA,1593751254,100,-33.93,18.42,48.00200000000008,1.5
umm lajj,0,SA,1593751613,31,25.02,37.27,89.67200000000004,2.46
juba,82,SS,1593751613,91,4.85,31.58,70.79000000000002,0.89
jalingo,49,NG,1593751614,89,8.88,11.37,75.83000000000004,1.93
bluff,100,NZ,1593751614,83,-46.6,168.33,39.00200000000008,1.34
punta alta,97,AR,1593751614,70,-38.88,-62.07,46.22000000000006,6.32
hermanus,48,ZA,1593751614,73,-34.42,19.23,56.80400000000005,2.19
kasiri,100,SL,1593751615,92,8.94,-13.11,74.82200000000003,1.59
kahului,51,US,1593751554,85,20.89,-156.47,73.99400000000007,4.92
araouane,0,ML,1593751615,13,18.9,-3.53,88.62800000000007,1.53
bambous virieux,40,MU,1593751616,64,-20.34,57.76,73.99400000000007,6.2
thompson,75,CA,1593751351,88,55.74,-97.86,66.2,4.1
bud,0,US,1593751616,87,39.45,-86.18,73.99400000000007,2.33
novyy urengoy,100,RU,1593751617,89,66.08,76.63,60.17000000000006,1.91
pokaran,30,IN,1593751617,37,26.92,71.92,99.71600000000001,6.96
shache,34,CN,1593751618,11,38.42,77.24,93.21800000000009,5.14
ahuimanu,20,US,1593751618,54,21.44,-157.84,82.4,4.6
vaini,20,TO,1593751619,69,-21.2,-175.2,73.4,3.1
nemuro,20,JP,1593751619,72,43.32,145.57,66.2,3.6
asau,3,RO,1593751619,73,46.43,26.4,73.00400000000005,1.21
jalu,0,LY,1593751619,43,29.03,21.55,78.51200000000006,3.59
cabo san lucas,5,MX,1593751533,78,22.89,-109.91,80.00600000000003,3.1
leningradskiy,64,RU,1593751620,56,69.38,178.42,50.018000000000086,2.55
bredasdorp,2,ZA,1593751620,81,-34.53,20.04,51.8,2.6
karoi,0,ZW,1593751621,87,-16.81,29.69,48.254000000000055,1.63
barrow,1,US,1593751621,86,71.29,-156.79,39.2,8.7
kuito,17,AO,1593751621,70,-12.38,16.93,48.182000000000016,2.07
lebu,100,CL,1593751621,82,-37.62,-73.65,49.01000000000008,5.17
vestmanna,99,FO,1593751622,81,62.16,-7.17,42.8,2.6
chuy,35,UY,1593751622,87,-33.7,-53.46,42.76400000000003,3.42
vila velha,90,BR,1593751371,88,-20.33,-40.29,68.0,0.5
sangar,36,RU,1593751623,50,63.92,127.47,67.62200000000004,8.27
chicama,84,PE,1593751623,81,-7.84,-79.15,61.610000000000085,1.35
hithadhoo,99,MV,1593751623,66,-0.6,73.08,84.29000000000002,1.98
qeshm,20,IR,1593751624,67,26.96,56.27,95.0,5.1
lazaro cardenas,94,MX,1593751624,82,17.96,-102.2,79.358,0.87
meadow lake,40,US,1593751511,26,34.8,-106.54,82.4,5.7
mulanje,3,MW,1593751624,80,-16.03,35.5,58.424000000000014,1.3
yumen,38,CN,1593751625,12,40.28,97.2,88.43000000000004,4.72
perpignan,75,FR,1593751625,72,42.75,2.75,64.99400000000007,5.7
nome,90,US,1593751625,100,64.5,-165.41,46.99400000000007,3.1
kununurra,11,AU,1593751626,29,-15.77,128.73,91.4,7.2
kruisfontein,23,ZA,1593751626,84,-34.0,24.73,50.73800000000004,4.19
talnakh,0,RU,1593751626,37,69.49,88.4,68.0,6.0
souillac,40,MU,1593751627,64,-20.52,57.52,71.6,6.2
gemena,25,CD,1593751627,94,3.25,19.77,69.65600000000003,0.69
kuching,40,MY,1593751627,70,1.55,110.33,89.6,2.6
tanout,0,NE,1593751628,42,14.97,8.89,87.33200000000002,4.46
mackay,90,AU,1593751628,64,-21.15,149.2,75.99199999999999,5.7
east london,1,ZA,1593751629,62,-33.02,27.91,57.2,6.7
dubti,49,ET,1593751629,35,11.74,41.09,91.36400000000003,7.3
suhbaatar,11,MN,1593751630,38,50.23,106.21,81.96800000000009,2.17
monrovia,97,LR,1593751630,85,6.3,-10.8,76.78399999999999,4.23
new deer,100,GB,1593751630,87,57.51,-2.19,50.0,2.6
sisimiut,0,GL,1593751631,74,66.94,-53.67,46.22000000000006,5.72
gwadar,49,PK,1593751631,70,25.12,62.33,87.674,2.12
sao filipe,15,CV,1593751631,84,14.9,-24.5,74.37200000000004,3.77
eyl,35,SO,1593751631,46,7.98,49.82,84.12800000000007,15.39
koungou,90,YT,1593751632,65,-12.73,45.2,77.0,4.1
norman wells,75,CA,1593751632,71,65.28,-126.83,53.6,3.6
tiksi,100,RU,1593751632,90,71.69,128.87,35.52800000000006,6.09
visakhapatnam,75,IN,1593751633,84,17.69,83.21,86.0,1.5
port blair,100,IN,1593751633,77,11.67,92.75,84.092,7.32
mar del plata,90,AR,1593751633,100,-38.0,-57.56,48.992,3.1
torbay,90,CA,1593751385,100,47.67,-52.73,50.0,5.7
jamestown,1,US,1593751467,68,42.1,-79.24,71.6,3.6
khatanga,100,RU,1593751634,66,71.97,102.5,57.758,4.2
longyearbyen,75,SJ,1593751634,80,78.22,15.64,41.0,4.6
necochea,18,AR,1593751634,98,-38.55,-58.74,39.992,0.45
ponta do sol,75,PT,1593751635,77,32.67,-17.1,69.8,5.7
kaeo,46,NZ,1593751635,50,-35.1,173.78,55.99400000000007,0.89
awbari,0,LY,1593751635,19,26.59,12.78,76.26200000000006,1.3
provideniya,45,RU,1593751636,66,64.38,-173.3,53.6,6.0
santa vitoria do palmar,50,BR,1593751636,84,-33.52,-53.37,44.582000000000015,3.51
port hardy,75,CA,1593751636,71,50.7,-127.42,55.4,3.6
mandalgovi,3,MN,1593751637,40,45.76,106.27,71.942,2.07
dikson,0,RU,1593751637,73,73.51,80.55,46.65200000000008,3.2
honningsvag,75,NO,1593751637,75,70.98,25.97,46.4,5.1
matara,97,LK,1593751637,79,5.95,80.54,83.31800000000008,5.21
palembang,75,ID,1593751638,70,-2.92,104.75,86.0,4.1
upernavik,0,GL,1593751638,83,72.79,-56.15,37.022000000000034,2.23
makakilo city,1,US,1593751638,54,21.35,-158.09,84.2,3.6
faanui,1,PF,1593751639,81,-16.48,-151.75,80.49199999999999,8.15
college,40,US,1593751417,37,64.86,-147.8,68.0,2.6
binzhou,79,CN,1593751639,55,37.37,118.02,76.37000000000006,5.86
gold coast,0,AU,1593751503,41,-28.0,153.43,75.99199999999999,5.7
karratha,44,AU,1593751640,24,-20.74,116.85,84.38000000000004,10.83
port moresby,40,PG,1593751640,58,-9.44,147.18,87.8,7.7
madimba,20,TZ,1593751640,88,-10.4,40.33,69.8,8.7
airai,26,TL,1593751640,68,-8.93,125.41,69.35,2.71
flinders,23,AU,1593751641,45,-34.58,150.86,64.00400000000005,5.36
pedernales,92,DO,1593751641,69,18.04,-71.74,81.30200000000008,1.97
nalut,0,LY,1593751641,25,30.33,10.85,78.92600000000009,4.42
hobart,75,AU,1593751622,61,-42.88,147.33,51.008,4.1
sitka,20,US,1593751642,38,57.05,-135.33,73.4,1.5
soyo,4,AO,1593751642,88,-6.13,12.37,71.15,2.56
nizhniy tsasuchey,87,RU,1593751642,31,50.52,115.13,83.984,2.48
san miguel,89,SV,1593751643,89,13.48,-88.18,71.33000000000004,1.12
tenango,88,MX,1593751643,59,18.65,-98.18,66.99199999999999,1.34
raudeberg,99,NO,1593751643,92,61.99,5.14,44.00600000000003,5.18
xam nua,100,LA,1593751643,82,20.42,104.04,79.75400000000005,0.62
edgewater,75,US,1593751644,88,28.99,-80.9,78.99800000000002,1.5
mahebourg,40,MU,1593751644,64,-20.41,57.7,71.6,6.2
orotukan,100,RU,1593751644,76,62.27,151.7,49.13600000000007,3.63
cap malheureux,0,MU,1593751645,62,-19.98,57.61,73.99400000000007,5.36
hasaki,75,JP,1593751645,65,35.73,140.83,80.00600000000003,5.1
vostok,0,RU,1593751645,39,46.49,135.88,75.2,3.12
portree,100,GB,1593751645,91,57.41,-6.19,46.99400000000007,4.02
ossora,100,RU,1593751646,94,59.24,163.07,49.71200000000006,4.66
murray bridge,40,AU,1593751646,82,-35.12,139.27,53.00600000000003,2.24
nsukka,100,NG,1593751646,100,6.86,7.39,70.73600000000008,2.34
esperance,90,AU,1593751365,77,-33.87,121.9,59.0,2.1
jahazpur,35,IN,1593751647,34,25.62,75.28,101.67800000000007,5.75
constitucion,74,CL,1593751647,73,-35.33,-72.42,49.17200000000004,1.35
iracoubo,61,GF,1593751647,88,5.48,-53.2,77.64800000000002,3.24
port lincoln,43,AU,1593751515,66,-34.73,135.87,56.768000000000086,7.65
san patricio,100,MX,1593751648,71,19.22,-104.7,79.484,1.15
kanashevo,0,RU,1593751648,59,55.22,62.06,64.4,2.0
sawakin,41,SD,1593751649,30,19.11,37.33,92.71400000000003,2.16
olinda,40,BR,1593751465,94,-8.01,-34.86,75.2,1.5
labuhan,24,ID,1593751649,61,-6.88,112.21,85.78399999999999,1.98
klaksvik,99,FO,1593751650,81,62.23,-6.59,42.8,2.6
bengkulu,96,ID,1593751650,65,-3.8,102.27,86.19800000000002,2.75
kologriv,21,RU,1593751650,75,58.83,44.32,66.79400000000007,1.7
jumla,7,NP,1593751650,84,29.27,82.18,78.99800000000002,1.34
heemskerk,56,NL,1593751651,78,52.51,4.65,57.992,2.45
port hawkesbury,90,CA,1593751652,100,45.62,-61.35,60.008,1.5
san quintin,0,MX,1593751652,81,30.48,-115.95,64.5260000000001,4.04
luwuk,88,ID,1593751652,82,-0.95,122.79,77.43200000000002,4.16
southampton,82,GB,1593751652,75,50.9,-1.4,53.00600000000003,1.34
general roca,40,AR,1593751653,87,-39.03,-67.58,42.8,2.4
haines junction,0,CA,1593751446,28,60.75,-137.51,66.27200000000003,1.15
riyadh,0,SA,1593751635,43,24.69,46.72,89.6,3.07
cayenne,23,GF,1593751445,100,4.93,-52.33,75.2,2.6
porto novo,40,BJ,1593751654,88,6.5,2.6,78.8,5.1
lavrentiya,37,RU,1593751654,76,65.58,-171.0,49.29800000000002,2.44
dax,12,FR,1593751654,100,43.75,-1.17,60.008,0.5
shimoda,75,JP,1593751655,73,34.67,138.95,75.2,2.6
teknaf,80,BD,1593751655,72,20.86,92.31,87.89000000000001,5.48
calvinia,39,ZA,1593751655,61,-31.47,19.78,42.71000000000008,1.39
ambulu,97,ID,1593751655,61,-8.35,113.61,84.03800000000004,4.36
divnogorsk,53,RU,1593751656,57,55.96,92.36,80.6,3.0
roald,75,NO,1593751656,81,62.58,6.13,46.4,3.6
omboue,71,GA,1593751656,92,-1.57,9.26,71.65400000000005,2.29
puerto del rosario,3,ES,1593751657,78,28.5,-13.86,71.6,6.7
olafsvik,22,IS,1593751657,73,64.89,-23.71,50.66600000000001,2.14
asmar,0,AF,1593751657,13,35.03,71.36,92.73200000000001,1.13
bilibino,99,RU,1593751657,64,68.05,166.44,48.23600000000007,5.14
poso,83,ID,1593751658,68,-1.4,120.75,83.82200000000003,0.29
moose factory,20,CA,1593751658,87,51.26,-80.61,55.4,2.1
henties bay,0,NA,1593751659,31,-22.12,14.28,68.46800000000009,5.19
krasnotorka,4,UA,1593751659,66,48.68,37.53,75.63200000000002,3.14
kavieng,48,PG,1593751659,65,-2.57,150.8,84.74000000000002,2.21
clyde river,1,CA,1593751659,75,70.47,-68.59,46.4,4.6
estrela,29,BR,1593751660,99,-28.06,-50.94,31.874000000000013,0.5
vuktyl,100,RU,1593751660,71,63.86,57.31,55.85,3.39
yerbogachen,60,RU,1593751660,37,61.28,108.01,75.29000000000002,4.51
ballina,0,AU,1593751661,44,-28.87,153.57,77.0,3.6
moron,4,AR,1593751661,91,-34.65,-58.62,46.004000000000055,0.89
itarema,83,BR,1593751661,88,-2.92,-39.92,75.81200000000005,3.97
katsuura,75,JP,1593751661,69,35.13,140.3,80.00600000000003,1.0
isiolo,15,KE,1593751662,65,0.35,37.58,67.24400000000007,2.68
tocopilla,18,CL,1593751662,63,-22.09,-70.2,58.658,0.98
port hedland,75,AU,1593751662,14,-20.32,118.57,87.8,9.8
balgazyn,13,RU,1593751662,38,51.0,95.2,79.98800000000004,3.16
kapoeta,100,SS,1593751663,79,4.77,33.59,74.13800000000005,1.74
camana,4,PE,1593751663,76,-16.62,-72.71,58.53200000000002,2.26
arraial do cabo,97,BR,1593751663,70,-22.97,-42.03,67.56800000000008,2.16
waitakere,38,NZ,1593751664,66,-36.92,174.66,55.99400000000007,2.6
isangel,40,VU,1593751664,69,-19.55,169.27,75.2,2.6
guerrero negro,0,MX,1593751565,74,27.98,-114.06,67.82000000000006,4.34
narsaq,100,GL,1593751664,43,60.92,-46.05,51.8,2.1
dovers,23,VC,1593751665,77,12.88,-61.18,81.89600000000004,9.37
lasa,90,IT,1593751665,100,46.62,10.7,57.00200000000008,1.5
durham,40,US,1593751665,88,36.03,-78.87,71.99600000000005,1.44
manavalakurichi,75,IN,1593751666,74,8.13,77.3,84.2,1.0
oeiras do para,78,BR,1593751442,93,-2.0,-49.85,73.77800000000006,1.53
douentza,0,ML,1593751666,43,15.0,-2.95,89.2760000000001,3.55
beauvais,17,FR,1593751667,93,49.42,2.0,51.998000000000026,3.6
pochutla,83,MX,1593751667,87,15.74,-96.47,75.99199999999999,1.02
severo-kurilsk,51,RU,1593751667,75,50.68,156.12,48.00200000000008,6.73
sayyan,86,YE,1593751667,34,15.17,44.32,71.6,1.49
orlik,1,RU,1593751668,30,52.52,99.83,78.63800000000005,0.46
anan,75,JP,1593751668,88,33.92,134.65,71.6,6.2
campestre,43,BR,1593751668,61,-21.71,-46.25,48.97400000000001,0.74
les cayes,40,HT,1593751669,81,18.2,-73.75,79.19600000000005,1.74
vanimo,0,PG,1593751669,66,-2.67,141.3,85.35200000000007,4.05
chokurdakh,100,RU,1593751669,88,70.63,147.92,39.398000000000025,7.53
abbeville,57,FR,1593751670,71,50.1,1.83,57.00200000000008,4.22
leshukonskoye,2,RU,1593751670,70,64.9,45.76,64.4,1.53
galeana,54,MX,1593751565,56,24.83,-100.07,64.99400000000007,0.66
gat,0,IL,1593751496,68,31.61,34.76,73.99400000000007,0.99
oyama,75,JP,1593751671,64,36.3,139.8,84.99199999999999,7.7
cockburn town,65,TC,1593751671,81,21.46,-71.14,83.26400000000004,7.84
mayo,1,US,1593751671,74,38.89,-76.51,80.6,3.41
srednekolymsk,100,RU,1593751672,71,67.45,153.68,47.75,2.22
